reportingPeriod,state,legalAgencyName,projectType,projectStartDate,projectEndDate,empgTotalFunding
2016 BSIR (December 16),Texas,AT City of Texarkana,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,37490.06
2016 BSIR (December 16),Texas,CA Hays County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,42007.52
2016 BSIR (December 16),Texas,CA Caldwell County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,35544.28
2016 BSIR (December 16),Texas,CA Williamson County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,84923.24
2016 BSIR (December 16),Oregon,Wasco County Sheriff''s Office,Develop / enhance homeland security / emergency management organization and structure,2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,39000
2016 BSIR (December 16),Pennsylvania,Commonwealthwide,Establish/enhance emergency operations center,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,5582695
2016 BSIR (December 16),Rhode Island,City of Pawtucket ,Establish/enhance emergency operations center,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,122000
2016 BSIR (December 16),Rhode Island,RI Disaster Medical Assistance Team,"Develop/enhance plans, procedures, and protocols",2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,56458
2016 BSIR (December 16),Rhode Island,Town of Burrillville,Enhance capabilities to respond to all-hazards events,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,2500
2016 BSIR (December 16),Rhode Island,Town of Middletown ,Assess vulnerability of and/or harden/protect critical infrastructure and key assets,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,4000
2016 BSIR (December 16),Rhode Island,Town of Portsmouth,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,3530
2016 BSIR (December 16),Rhode Island,Town of West Warwick,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,4450
2016 BSIR (December 16),Tennessee,TEMA - EMPG ,Establish/enhance emergency operations center,2016-10-01T00:00:00+00:00,2018-09-01T00:00:00+00:00,6886333
2016 BSIR (December 16),Texas,AA City of San Antonio,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,185837.99
2016 BSIR (December 16),Texas,CA City of Austin,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,137207.56
2016 BSIR (December 16),Texas,BV Madison County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,33096.76
2016 BSIR (December 16),Texas,CB Bee County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,22349.02
2016 BSIR (December 16),Texas,CA City of Bastrop,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,32372.44
2016 BSIR (December 16),Texas,CB City of Corpus Christi,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,70159.2
2016 BSIR (December 16),Texas,CT City of Killeen,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,45647.11
2016 BSIR (December 16),Texas,CT City of Belton,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,33431.14
2016 BSIR (December 16),Texas,CV Menard County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,31473.81
2016 BSIR (December 16),Texas,CT Milam County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,35772.77
2016 BSIR (December 16),Texas,DE Houston County,Enhance capability to support economic and community recovery,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,33667.17
2016 BSIR (December 16),Pennsylvania,PEMA - EMPG,Develop / enhance homeland security / emergency management organization and structure,2015-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,5265850
2016 BSIR (December 16),Texas,ET City of Palestine,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,33232.33
2016 BSIR (December 16),Rhode Island,City of Providence,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,180000
2016 BSIR (December 16),Texas,HG Brazoria County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,67939.4
2016 BSIR (December 16),Rhode Island,RI Emergency Management Agency,Develop/enhance interoperable communications systems,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,583393
2016 BSIR (December 16),Texas,HG City of Conroe,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,38488.59
2016 BSIR (December 16),Rhode Island,Town of Hopkinton,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,5443
2016 BSIR (December 16),Texas,HG City of Huntsville,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,20207.89
2016 BSIR (December 16),Rhode Island,Town of North Kingstown,Establish/enhance emergency operations center,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,51875
2016 BSIR (December 16),Rhode Island,Town of Scituate,Enhance capabilities to respond to all-hazards events,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,2500
2016 BSIR (December 16),Texas,CT City of Copperas Cove,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,36092.72
2016 BSIR (December 16),Rhode Island,Town of Westerly,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,11000
2016 BSIR (December 16),Texas,HG City of Pearland,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,42582.26
2016 BSIR (December 16),Texas,AA Bexar County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,79451.91
2016 BSIR (December 16),Texas,HG Galveston County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,64794.25
2016 BSIR (December 16),Texas,AA Wilson County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,36813.65
2016 BSIR (December 16),Texas,CA Bastrop County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,39393.54
2016 BSIR (December 16),Texas,CV City of San Angelo,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,45103.7
2016 BSIR (December 16),Texas,CA Travis County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,62211.2
2016 BSIR (December 16),Texas,DE Jasper County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,39668.17
2016 BSIR (December 16),Texas,CB Nueces County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,37542.86
2016 BSIR (December 16),Texas,ET Henderson County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,38956.19
2016 BSIR (December 16),Texas,CT Coryell County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,39558.75
2016 BSIR (December 16),Texas,HG Chambers County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,38158.32
2016 BSIR (December 16),Texas,HG City of Dickinson,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,32540.7
2016 BSIR (December 16),Texas,CB City of Port Aransas,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,31537.52
2016 BSIR (December 16),Texas,HG City of League City,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,42267.48
2016 BSIR (December 16),Texas,HG City of Seabrook,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,33944.2
2016 BSIR (December 16),Texas,DE Polk County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,38380.14
2016 BSIR (December 16),Texas,HG Harris County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,270532.16
2016 BSIR (December 16),Texas,ET Smith County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,55472.55
2016 BSIR (December 16),Texas,LR City of Brownsville,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,54552.96
2016 BSIR (December 16),Texas,HG City of Alvin,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,33737.32
2016 BSIR (December 16),Texas,NC City of Arlington,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,53856.2
2016 BSIR (December 16),Texas,NC City of Fort Worth,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,244220.32
2016 BSIR (December 16),Texas,HG City of Friendswood,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,38481.03
2016 BSIR (December 16),Texas,NC City of Southlake,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,35977.3
2016 BSIR (December 16),Texas,HG City of Liberty,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,32099.36
2016 BSIR (December 16),Texas,NX Wichita County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,44799.52
2016 BSIR (December 16),Texas,HG City of Sugar Land,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,41649.65
2016 BSIR (December 16),Texas,PR City of Pampa,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,33588.58
2016 BSIR (December 16),Texas,HG Liberty County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,39948.83
2016 BSIR (December 16),Texas,SE City of Beaumont,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,47123.45
2016 BSIR (December 16),Texas,LR City of McAllen,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,46437.09
2016 BSIR (December 16),Texas,SE Jefferson County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,59243.81
2016 BSIR (December 16),Texas,WC City of Abilene,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,44979.34
2016 BSIR (December 16),Texas,NC City of Cleburne,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,35038.84
2016 BSIR (December 16),Vermont,RPC - Addison County,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,50159.83
2016 BSIR (December 16),Texas,NC City of Grand Prairie,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,52050.24
2016 BSIR (December 16),Vermont,RPC - NVDA,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,47975
2016 BSIR (December 16),Texas,NC Hunt County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,40380.29
2016 BSIR (December 16),Vermont,State of Vermont - DEMHS,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,2524005.58
2016 BSIR (December 16),Texas,PB City of Odessa,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,49056.67
2016 BSIR (December 16),Virginia,Alleghany County ,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,7500
2016 BSIR (December 16),Texas,CT City of Temple,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,39777.99
2016 BSIR (December 16),Virginia,Appomattox County,Establish/enhance emergency operations center,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,7500
2016 BSIR (December 16),Virginia,Bland County,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,7500
2016 BSIR (December 16),Texas,DE Angelina County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,40673.72
2016 BSIR (December 16),Virginia,Buena Vista City,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,7500
2016 BSIR (December 16),Texas,DE City of Nacogdoches,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,37080.93
2016 BSIR (December 16),Texas,ET Anderson County,Enhance capabilities to recover from all-hazards events,2015-10-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,37092.29
2016 BSIR (December 16),Texas,HT City of Waco,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,62369.46
2016 BSIR (December 16),Texas,GC Victoria County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,44117.94
2016 BSIR (December 16),Texas,MR Uvalde County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,33251.11
2016 BSIR (December 16),Texas,HG City of Cleveland,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,31497.15
2016 BSIR (December 16),Texas,NC City of DeSoto,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,36679.79
2016 BSIR (December 16),Texas,HG City of Houston,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,269689.75
2016 BSIR (December 16),Texas,NC City of Rowlett,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,36887.23
2016 BSIR (December 16),Texas,HG City of Pasadena,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,54664.93
2016 BSIR (December 16),Texas,NX City of Wichita Falls,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,42145.85
2016 BSIR (December 16),Texas,HG Fort Bend County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,107849.41
2016 BSIR (December 16),Texas,PR City of Amarillo,Enhance capabilities to respond to all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,65906.2
2016 BSIR (December 16),Texas,HG Walker County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,38653.52
2016 BSIR (December 16),Texas,SAA-Texas Department of Public Safety-SAA (M & A Only),Enhance capabilities to recover from all-hazards events,2015-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,14692066.75
2016 BSIR (December 16),Texas,SE Hardin County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,37317.12
2016 BSIR (December 16),Texas,LR City of San Benito,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,32774.62
2016 BSIR (December 16),Texas,NC City of Denton,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,47327.82
2016 BSIR (December 16),Texas,NC City of Lewisville,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,43644.93
2016 BSIR (December 16),Texas,TX Grayson County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,45739.47
2016 BSIR (December 16),Texas,NX City of Graham,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,23445.03
2016 BSIR (December 16),Vermont,Agency of Natural Resources - Department of Environmental Conservation,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,25000
2016 BSIR (December 16),Texas,PR Childress County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,18933.13
2016 BSIR (December 16),Vermont,RPC - Northwest Regional,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,49130
2016 BSIR (December 16),Texas,RG Tigua Tribe Ysleta del Sur Pueblo,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,27215
2016 BSIR (December 16),Vermont,RPC - Windham County,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,45274.3
2016 BSIR (December 16),Texas,SE City of Vidor,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,32131.79
2016 BSIR (December 16),Virginia,Albemarle County,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,7500
2016 BSIR (December 16),Texas,TX City of Gainesville,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,34365.54
2016 BSIR (December 16),Utah,Utah Department of Public Safety,Develop / enhance homeland security / emergency management organization and structure,2015-08-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,4559247
2016 BSIR (December 16),Virginia,Appomattox County,Establish / enhance mass care shelter and alternative medical facilities operations,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,30000
2016 BSIR (December 16),Texas,DE San Jacinto County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,24387.94
2016 BSIR (December 16),Virginia,Bedford County,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,13305
2016 BSIR (December 16),Texas,GC DeWitt County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,33314.1
2016 BSIR (December 16),Virginia,Buckingham County,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,7500
2016 BSIR (December 16),Texas,HG City of Angleton,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,33208.98
2016 BSIR (December 16),Virginia,Charles City County ,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,14034
2016 BSIR (December 16),Texas,HG City of Galveston,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,38895.64
2016 BSIR (December 16),Virginia,"Christiansburg, Town of ","Develop/enhance plans, procedures, and protocols",2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,7500
2016 BSIR (December 16),Texas,HG City of Nassau Bay,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,32484.01
2016 BSIR (December 16),Virginia,Cumberland County,Develop/enhance interoperable communications systems,2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,30000
2016 BSIR (December 16),Texas,HG City of Texas City,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,36296.44
2016 BSIR (December 16),Virginia,Emporia City,"Develop/enhance plans, procedures, and protocols",2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,10285
2016 BSIR (December 16),Texas,PR Moore County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,33810.58
2016 BSIR (December 16),Virginia,Franklin County ,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,16595
2016 BSIR (December 16),Texas,SE City of Orange,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,33460.13
2016 BSIR (December 16),Virginia,Goochland County,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,16904
2016 BSIR (December 16),Texas,SE Orange County,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,38385.02
2016 BSIR (December 16),Virginia,Hampton City,Enhance capabilities to respond to all-hazards events,2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,70740
2016 BSIR (December 16),Texas,WC City of Snyder,Enhance capabilities to recover from all-hazards events,2016-07-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,34140.02
2016 BSIR (December 16),Virginia,Highland County,"Develop/enhance plans, procedures, and protocols",2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,7500
2016 BSIR (December 16),Vermont,RPC - Bennington County,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,37855.64
2016 BSIR (December 16),Virginia,Lancaster County,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,7500
2016 BSIR (December 16),Vermont,RPC - Rutland County,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,52850.61
2016 BSIR (December 16),Virginia,Lynchburg City,Enhance capabilities to respond to all-hazards events,2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,23423
2016 BSIR (December 16),Virgin Islands,Virgin Islands Office of Homeland Security,Establish/enhance emergency operations center,2015-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,941870
2016 BSIR (December 16),Virginia,Nelson County,"Develop/enhance plans, procedures, and protocols",2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,7500
2016 BSIR (December 16),Virginia,Amelia County,"Establish / enhance citizen awareness of emergency preparedness, prevention, and response measures",2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,25000
2016 BSIR (December 16),Virginia,Page County,Develop / enhance homeland security / emergency management organization and structure,2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,37500
2016 BSIR (December 16),Virginia,Arlington County ,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,72527
2016 BSIR (December 16),Virginia,Portsmouth City,"Develop/enhance plans, procedures, and protocols",2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,57992
2016 BSIR (December 16),Virginia,Radford City,"Develop/enhance plans, procedures, and protocols",2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,7500
2016 BSIR (December 16),Virginia,Botetourt County,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,7500
2016 BSIR (December 16),Virginia,Roanoke County ,"Develop/enhance plans, procedures, and protocols",2016-09-01T00:00:00+00:00,2018-03-01T00:00:00+00:00,21282
2016 BSIR (December 16),Virginia,Campbell County,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,13805
2016 BSIR (December 16),Virginia,Scott County,"Develop/enhance plans, procedures, and protocols",2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,13810
2016 BSIR (December 16),Virginia,Charlottesville City,"Develop/enhance plans, procedures, and protocols",2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,7500
2016 BSIR (December 16),Virginia,Staunton City,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,7500
2016 BSIR (December 16),Virginia,Covington City,"Develop/enhance plans, procedures, and protocols",2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,9346
2016 BSIR (December 16),Virginia,Virginia Department of Emergency Management,"Develop/enhance plans, procedures, and protocols",2017-07-01T00:00:00+00:00,2018-06-01T00:00:00+00:00,4822373
2016 BSIR (December 16),Virginia,Danville City,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,27013
2016 BSIR (December 16),Virginia,Williamsburg City,"Develop/enhance plans, procedures, and protocols",2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,7500
2016 BSIR (December 16),Virginia,"Farmville, Town of",Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,12180
2016 BSIR (December 16),Washington,"Adams, County of",Enhance capabilities to recover from all-hazards events,2016-06-01T00:00:00+00:00,2017-08-01T00:00:00+00:00,18000
2016 BSIR (December 16),Virginia,Fredericksburg City,"Develop/enhance plans, procedures, and protocols",2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,10680
2016 BSIR (December 16),Washington,"Bothell, City of",Enhance capabilities to recover from all-hazards events,2016-06-01T00:00:00+00:00,2017-08-01T00:00:00+00:00,24448
2016 BSIR (December 16),Virginia,Greene County,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,7500
2016 BSIR (December 16),Vermont,RPC - Lamoille County,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,37542
2016 BSIR (December 16),Virginia,Harrisonburg City,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,7500
2016 BSIR (December 16),Vermont,RPC - Two Rivers ORC,Develop / enhance homeland security / emergency management organization and structure,2016-10-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,55000
2016 BSIR (December 16),Virginia,James City County,"Develop/enhance plans, procedures, and protocols",2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,39978
2016 BSIR (December 16),Virginia,Albemarle County,Develop / enhance homeland security / emergency management organization and structure,2017-09-01T00:00:00+00:00,2018-05-01T00:00:00+00:00,25452
2016 BSIR (December 16),Virginia,Lexington City,"Develop/enhance plans, procedures, and protocols",2016-07-01T00:00:00+00:00,2017-06-01T00:00:00+00:00,7500
